     "Activity",           "ID",     "Time[ms]",           "ax",           "ay",           "az"
        Walking,              2,  1546811832513, 1.77261114e-01,-1.66239500e-01,-2.42756605e+00
        Walking,              2,  1546811832614,-4.72902417e-01,-2.24971533e-01,-2.32586432e+00
        Walking,              2,  1546811832714,-1.37875998e+00, 2.13275909e-01,-2.33562899e+00
        Walking,              2,  1546811832814,-1.70077026e+00, 2.57544994e-01,-2.26576471e+00
        Walking,              2,  1546811832914,-2.02011442e+00, 1.11274981e+00,-2.47773886e+00
        Walking,              2,  1546811833014,-1.47638249e+00,-1.92951918e-01,-2.22967005e+00
        Walking,              2,  1546811833114,-1.75778055e+00,-3.38726282e-01,-6.25658035e-02
        Walking,              2,  1546811833215, 1.73314178e+00,-4.97685671e+00, 2.87568760e+00
        Walking,              2,  1546811833316,-1.24336696e+00,-1.75786901e+00,-1.33806944e+00
        Walking,              2,  1546811833417,-2.29970217e+00,-4.96774435e-01,-1.62395477e-01
        Walking,              2,  1546811833518,-4.94939208e-01,-6.36515856e-01,-1.94641972e+00
        Walking,              2,  1546811833618,-1.60402656e+00,-1.09251142e+00, 3.10948467e+00
        Walking,              2,  1546811833720,-2.81909871e+00,-1.28162289e+00, 1.09845686e+01
        Walking,              2,  1546811833821,-1.57565904e+00,-2.65416336e+00,-2.04925537e-02
        Walking,              2,  1546811833923, 1.90180421e-01,-1.23184180e+00,-2.97388220e+00
        Walking,              2,  1546811834023, 9.65003431e-01,-4.66079950e-01,-3.24854279e+00
        Walking,              2,  1546811834125, 5.86230755e-02, 3.53945971e-01, 6.51879311e-01
        Walking,              2,  1546811834226,-3.02285504e+00, 4.09581661e-01, 7.12282085e+00
        Walking,              2,  1546811834327, 3.55256081e-01,-1.63050783e+00,-1.22176933e+00
        Walking,              2,  1546811834428, 6.13006115e-01,-2.03526497e-01,-3.07810020e+00
        Walking,              2,  1546811834530, 1.83755565e+00,-4.74103212e-01,-1.87104321e+00
        Walking,              2,  1546811834631,-2.56255198e+00, 1.19895959e+00, 2.99417734e+00
        Walking,              2,  1546811834732,-3.34257174e+00,-2.45194674e-01,-3.12237120e+00
        Walking,              2,  1546811834834,-2.15560198e+00,-1.23701835e+00,-2.37139797e+00
        Walking,              2,  1546811834936, 1.73163652e+00, 1.28974080e-01,-3.51185155e+00
        Walking,              2,  1546811835051, 2.97657013e-01, 5.09930253e-01,-1.38447952e+00
        Walking,              2,  1546811835152, 1.42777061e+00, 2.85136461e-01, 4.30216789e-02
        Walking,              2,  1546811835254,-2.17063141e+00,-1.89987612e+00,-5.05170822e-01
        Walking,              2,  1546811835355, 3.19724798e+00,-3.00748539e+00,-2.49258971e+00
        Walking,              2,  1546811835457,-1.49796200e+00, 1.46317816e+00, 3.61391306e-02
        Walking,              2,  1546811835559, 2.36190891e+00, 4.28580999e+00,-1.38259172e+00
        Walking,              2,  1546811835660, 3.58941936e+00,-3.36417675e-01,-1.49326885e+00
        Walking,              2,  1546811835761,-7.89864588e+00,-2.69101667e+00,-4.35677195e+00
        Walking,              2,  1546811835862, 8.60782623e-01,-3.73938370e+00, 1.42826867e+00
        Walking,              2,  1546811835963,-4.85134125e+00, 2.56365490e+00,-3.30649519e+00
        Walking,              2,  1546811836065, 2.67593312e+00, 4.28739643e+00, 6.31772280e-02
        Walking,              2,  1546811836166, 2.55990815e+00, 3.34760475e+00,-1.17489743e+00
        Walking,              2,  1546811836268, 1.61139441e+00,-5.28639793e-01,-3.89651394e+00
        Walking,              2,  1546811836369,-2.09121275e+00,-7.19735622e+00,-2.84130168e+00
        Walking,              2,  1546811836469, 3.36997747e+00,-3.80835724e+00, 1.83005774e+00
        Walking,              2,  1546811836570, 1.95488524e+00,-7.38486290e-01,-6.19053078e+00
        Walking,              2,  1546811836671, 4.25185871e+00, 5.18046093e+00,-3.07337928e+00
        Walking,              2,  1546811836773,-2.33618116e+00, 1.37436247e+00, 3.62163877e+00
        Walking,              2,  1546811836874,-3.34056759e+00,-2.96484375e+00, 2.20753574e+00
        Walking,              2,  1546811836975, 2.82277203e+00,-8.67843628e-02,-3.18176556e+00
        Walking,              2,  1546811837075, 2.82349586e-01, 2.18583679e+00, 1.09697664e+00
        Walking,              2,  1546811837176, 2.29812098e+00, 3.09307909e+00, 7.51769781e-01
        Walking,              2,  1546811837277,-5.48285961e-01,-3.91414642e-01, 3.23141575e-01
        Walking,              2,  1546811837377,-2.22260857e+00,-5.23095131e+00, 1.62690878e-01
        Walking,              2,  1546811837478, 4.38670063e+00,-4.77931023e+00, 7.84017026e-01
        Walking,              2,  1546811837578, 3.27025509e+00, 2.58377171e+00,-7.00688243e-01
        Walking,              2,  1546811837679, 4.74791145e+00, 4.80614901e+00, 8.10157120e-01
        Walking,              2,  1546811837780,-8.81814957e-03,-1.22425175e+00,-3.32171297e+00
        Walking,              2,  1546811837879, 3.64163542e+00,-7.94230461e+00,-2.78326082e+00
        Walking,              2,  1546811837980,-2.22795415e+00, 3.21245193e-01,-1.44659853e+00
        Walking,              2,  1546811838080,-8.20803642e-03, 4.61614656e+00, 1.78598309e+00
        Walking,              2,  1546811838180,-1.16343474e+00, 9.84921646e+00,-2.25322342e+00
        Walking,              2,  1546811838280,-4.50621700e+00,-3.57319927e+00,-3.02727699e-01
        Walking,              2,  1546811838358,-3.63625097e+00,-3.31804276e-01,-2.41885257e+00
        Walking,              2,  1546811838458, 2.07504010e+00,-7.48040771e+00,-4.59781408e+00
        Walking,              2,  1546811838558, 3.20517659e+00, 1.74326897e+00,-5.65050125e-01
        Walking,              2,  1546811838658, 3.32376218e+00, 5.27700424e+00,-1.50399017e+00
        Walking,              2,  1546811838759,-1.83693743e+00, 1.02096367e+00, 1.97459507e+00
        Walking,              2,  1546811838858, 3.86854053e+00,-2.28952980e+00, 1.59331751e+00
        Walking,              2,  1546811838958,-1.26246452e+00, 7.11658764e+00,-1.43736229e+01
        Walking,              2,  1546811839059, 9.24038947e-01, 2.63520527e+00, 1.35009193e+00
        Walking,              2,  1546811839158,-8.70738178e-02, 2.08821630e+00, 4.49832559e-01
        Walking,              2,  1546811839259,-1.88239098e+00, 4.37167168e-01,-6.57600403e-01
        Walking,              2,  1546811839359,-7.61533308e+00,-2.13251495e+00, 1.78165078e-01
        Walking,              2,  1546811839459, 4.02464771e+00,-1.37561398e+01,-5.24726391e+00
        Walking,              2,  1546811839559, 3.30105686e+00, 1.69115067e+00,-2.86185908e+00
        Walking,              2,  1546811839659, 6.04825068e+00, 8.51567459e+00,-4.12789583e+00
        Walking,              2,  1546811839759,-5.23607635e+00,-7.59444618e+00, 8.96821785e+00
        Walking,              2,  1546811839859, 3.38483667e+00, 7.41574860e+00,-2.16228318e+00
        Walking,              2,  1546811839959, 5.34429789e+00, 2.18303728e+00,-2.20923443e+01
        Walking,              2,  1546811840060,-8.34066153e-01, 1.52185774e+00,-4.32646811e-01
        Walking,              2,  1546811840160, 2.58569431e+00, 1.58474731e+00, 1.62420785e+00
        Walking,              2,  1546811840259,-5.51953983e+00,-9.81606483e-01, 2.85278773e+00
        Walking,              2,  1546811840360,-3.63989472e+00,-4.48835373e+00, 1.12235904e+00
        Walking,              2,  1546811840460, 3.11798835e+00,-7.72693443e+00,-2.02336669e+00
        Walking,              2,  1546811840560,-2.85518932e+00, 1.02550793e+00,-3.60708046e+00
        Walking,              2,  1546811840660, 6.95737410e+00, 7.91812277e+00,-5.72946024e+00
        Walking,              2,  1546811840760,-1.16206884e-01, 1.92809582e+00, 9.70004654e+00
        Walking,              2,  1546811840860, 1.64650130e+00, 9.29124641e+00,-6.53802633e-01
        Walking,              2,  1546811840959, 2.07100563e+01, 9.96427536e-02, 1.16842613e+01
        Walking,              2,  1546811841059,-6.32680511e+00, 1.48553848e-01,-4.66738254e-01
        Walking,              2,  1546811841159, 6.23240471e-01, 3.37474346e+00, 2.72763252e-01
        Walking,              2,  1546811841260,-2.99388385e+00, 1.36656761e+00, 8.57090950e-03
        Walking,              2,  1546811841360,-5.17087889e+00,-1.36839485e+00,-6.34965420e-01
        Walking,              2,  1546811841460,-2.10048509e+00,-5.73465347e-01,-2.85628110e-01
        Walking,              2,  1546811841559, 2.65576410e+00,-2.49833870e+00,-1.77033782e+00
        Walking,              2,  1546811841660, 5.86338711e+00, 5.78567886e+00,-4.85569859e+00
        Walking,              2,  1546811841759, 5.26112461e+00, 7.64281321e+00,-1.69492424e+00
        Walking,              2,  1546811841860,-7.67525911e+00, 9.44643021e-01, 5.05558205e+00
        Walking,              2,  1546811841960, 2.09460297e+01, 2.89059687e+00, 7.34325504e+00
        Walking,              2,  1546811842060,-8.68617249e+00, 1.94044113e-01,-2.17481112e+00
        Walking,              2,  1546811842160,-2.51182199e-01, 3.66372013e+00,-4.86242175e-01
        Walking,              2,  1546811842260,-2.58029103e+00, 1.90805149e+00, 3.49619269e-01
        Walking,              2,  1546811842360,-5.45845985e+00,-4.69814301e-01,-1.57566404e+00
        Walking,              2,  1546811842460,-3.79130650e+00,-9.66240883e-01, 2.31713533e+00
        Walking,              2,  1546811842560, 5.00199461e+00,-6.41075039e+00,-6.14233017e-01
        Walking,              2,  1546811842660, 6.01131964e+00, 2.22187710e+00,-3.90912533e+00
        Walking,              2,  1546811842760, 6.67884731e+00, 8.03015137e+00,-5.54552221e+00
        Walking,              2,  1546811842859,-6.74646139e+00,-4.05033875e+00, 6.52709770e+00
        Walking,              2,  1546811842959,-2.21870899e-01,-2.45422382e+01,-1.00320435e+01
        Walking,              2,  1546811843059, 3.60351586e+00,-2.60816288e+00,-1.08709657e+00
        Walking,              2,  1546811843160, 2.06683111e+00, 2.72178936e+00, 2.59104252e-01
        Walking,              2,  1546811843259,-7.65871167e-01, 1.49343014e+00, 2.08178091e+00
        Walking,              2,  1546811843359,-4.42545652e+00,-2.20718193e+00, 1.09914792e+00
        Walking,              2,  1546811843460,-4.62237024e+00,-1.79555798e+00, 3.62053585e+00
        Walking,              2,  1546811843559, 5.00817013e+00,-7.76398277e+00,-2.25786877e+00
        Walking,              2,  1546811843660, 6.74516392e+00, 4.45204544e+00,-4.79708290e+00
        Walking,              2,  1546811843760, 6.67772198e+00, 7.41599083e+00,-3.44848800e+00
        Walking,              2,  1546811843860,-1.06034756e+01,-1.19005823e+01, 8.70058632e+00
        Walking,              2,  1546811843960, 4.99770451e+00, 2.71911383e+00,-6.74844646e+00
        Walking,              2,  1546811844060,-4.62562037e+00,-3.21638203e+00,-2.27716160e+00
        Walking,              2,  1546811844161, 6.74446583e-01, 2.11039162e+00, 5.40676594e-01
        Walking,              2,  1546811844262,-1.69074821e+00, 1.05305099e+00, 3.55527878e+00
        Walking,              2,  1546811844362,-3.25860453e+00,-1.43376350e+00, 6.70830488e-01
        Walking,              2,  1546811844462,-5.13028097e+00,-2.18329525e+00, 4.85623741e+00
        Walking,              2,  1546811844562, 5.76083231e+00,-1.32695808e+01,-2.61200333e+00
        Walking,              2,  1546811844663, 5.90509319e+00, 2.45788622e+00,-3.48321104e+00
        Walking,              2,  1546811844762, 7.35545158e+00, 7.72374487e+00,-5.52687359e+00
        Walking,              2,  1546811844863,-8.03964138e+00,-8.21595287e+00, 4.51278973e+00
        Walking,              2,  1546811844963, 4.06773376e+00,-1.59929924e+01, 1.20434818e+01
        Walking,              2,  1546811845063, 6.49023676e+00,-1.94119072e+00,-7.60753632e+00
        Walking,              2,  1546811845164, 3.87478685e+00, 3.07725668e+00, 6.00627065e-01
        Walking,              2,  1546811845263, 2.07345653e+00, 2.04904556e-01, 2.07480669e+00
        Walking,              2,  1546811845363,-2.99118328e+00,-3.27598572e-01, 5.22619390e+00
        Walking,              2,  1546811845463,-9.69338894e+00,-4.21975136e+00,-1.82251465e+00
        Walking,              2,  1546811845563, 2.91797662e+00,-1.62670860e+01,-4.31715202e+00
        Walking,              2,  1546811845663, 1.44142008e+00,-1.87814713e-01,-2.82069421e+00
        Walking,              2,  1546811845764, 6.47844791e+00, 8.85078430e+00,-6.16728210e+00
        Walking,              2,  1546811845864, 1.28008366e-01,-3.47420597e+00, 1.17491541e+01
        Walking,              2,  1546811845964, 7.11766338e+00, 2.32892609e+00, 1.82484984e+00
        Walking,              2,  1546811846064, 8.94995689e-01, 1.74764442e+00,-2.86912155e+01
        Walking,              2,  1546811846164, 2.59617996e+00, 2.37419033e+00,-5.53300083e-01
        Walking,              2,  1546811846265, 2.10824251e+00, 2.61412287e+00, 2.13692307e-01
        Walking,              2,  1546811846365,-5.27759027e+00, 8.19567680e-01, 2.76423216e+00
        Walking,              2,  1546811846465,-7.91913462e+00,-2.79379559e+00, 1.22620177e+00
        Walking,              2,  1546811846565, 2.10994458e+00,-1.00710335e+01,-1.03055131e+00
        Walking,              2,  1546811846664,-3.69474697e+00, 2.26799965e-01,-3.48737669e+00
        Walking,              2,  1546811846765, 6.88722992e+00, 7.85025740e+00,-6.02393389e+00
        Walking,              2,  1546811846865, 3.82389355e+00, 2.95002651e+00, 2.96710491e-01
        Walking,              2,  1546811846965,-1.35286474e+00, 8.06777477e+00,-3.72695065e+00
        Walking,              2,  1546811847065, 6.82535791e+00,-1.15612030e+00,-2.22442365e+00
        Walking,              2,  1546811847165,-2.68879175e+00, 1.09261894e+00, 7.80714273e-01
        Walking,              2,  1546811847265, 8.06522369e-01, 2.38953543e+00, 9.15386677e-02
        Walking,              2,  1546811847365,-5.09426975e+00, 4.06986237e-01, 1.22047806e+00
        Walking,              2,  1546811847465,-6.78189182e+00,-3.04269505e+00, 1.79900002e+00
        Walking,              2,  1546811847565, 3.26741624e+00,-6.13693619e+00, 6.80378556e-01
        Walking,              2,  1546811847665,-1.87671757e+00, 2.17001915e-01,-1.65157342e+00
        Walking,              2,  1546811847765, 6.79813004e+00, 7.18947029e+00,-5.28797293e+00
        Walking,              2,  1546811847865, 3.09397745e+00, 4.55584717e+00,-6.32318139e-01
        Walking,              2,  1546811847965,-3.53525066e+00, 7.40797567e+00,-9.76658583e-01
        Walking,              2,  1546811848065, 1.92047462e+01,-2.00963593e+00, 1.36890612e+01
        Walking,              2,  1546811848165,-6.88199091e+00, 7.72116661e-01, 1.90647149e+00
        Walking,              2,  1546811848265,-1.81007266e+00, 2.98726940e+00, 1.08854055e-01
        Walking,              2,  1546811848365,-4.37929344e+00, 8.32246780e-01,-1.55428457e+00
        Walking,              2,  1546811848465,-4.27097893e+00,-3.37133789e+00, 2.39797544e+00
        Walking,              2,  1546811848565,-2.48572111e+00, 3.49556923e-01, 2.87863493e+00
        Walking,              2,  1546811848665,-1.49256945e-01,-2.22466373e+00,-1.43781245e+00
        Walking,              2,  1546811848765, 6.25608206e+00, 5.15641785e+00,-5.11621046e+00
        Walking,              2,  1546811848865, 4.47795820e+00, 7.51269150e+00,-2.59064579e+00
