     "Activity",           "ID",     "Time[ms]",           "ax",           "ay",           "az"
        Walking,              2,  1546776619323,-3.78546774e-01,-3.47845078e-01, 1.57629204e+00
        Walking,              2,  1546776619425, 8.59951317e-01,-1.78030479e+00,-5.17910004e-01
        Walking,              2,  1546776619526,-1.13313127e+00,-3.83522558e+00,-4.57588196e-01
        Walking,              2,  1546776619627, 2.52667308e+00, 4.48975801e-01,-1.84216785e+00
        Walking,              2,  1546776619728, 5.67895412e-01,-1.32803679e-01,-3.94267988e+00
        Walking,              2,  1546776619830, 2.75607109e-01,-5.99038601e-02,-4.04114199e+00
        Walking,              2,  1546776619931,-9.03304100e-01, 1.46221638e+00,-1.97532654e-01
        Walking,              2,  1546776620033, 2.27397084e+00,-1.87815797e+00,-1.51435900e+00
        Walking,              2,  1546776620134, 1.74441493e+00,-1.62479806e+00,-5.09974289e+00
        Walking,              2,  1546776620234,-1.71219182e+00, 3.22973680e+00,-6.07902431e+00
        Walking,              2,  1546776620335,-1.58634424e-01, 4.47488070e-01,-1.30813551e+00
        Walking,              2,  1546776620437,-1.30247498e+00,-1.68113267e+00, 7.51581287e+00
        Walking,              2,  1546776620538, 2.29359722e+00,-3.38326979e+00, 1.41682625e-01
        Walking,              2,  1546776620639, 2.23343182e+00, 6.78792357e-01,-2.20956135e+00
        Walking,              2,  1546776620740, 1.59605432e+00, 5.95256925e-01,-5.90093803e+00
        Walking,              2,  1546776620841,-1.85065413e+00,-1.40895152e+00, 1.10344410e+00
        Walking,              2,  1546776620943,-5.50040483e+00,-4.13307381e+00, 1.59006262e+00
        Walking,              2,  1546776621043, 1.91510201e+00,-2.82861924e+00,-3.95907927e+00
        Walking,              2,  1546776621144, 2.42949295e+00,-1.02456951e+00,-2.33951259e+00
        Walking,              2,  1546776621245,-1.24438858e+00, 2.63591933e+00, 3.52875233e-01
        Walking,              2,  1546776621346,-6.43711090e-02,-1.75357997e+00,-2.43767619e+00
        Walking,              2,  1546776621447,-8.21199608e+00,-3.80824900e+00, 3.12802792e-02
        Walking,              2,  1546776621548, 3.68629122e+00,-8.91218185e-01,-2.20330882e+00
        Walking,              2,  1546776621649, 4.68749189e+00, 1.66034532e+00, 1.80392933e+00
        Walking,              2,  1546776621749, 4.03821421e+00, 2.79558301e+00, 1.78896475e+00
        Walking,              2,  1546776621851,-3.27242374e+00,-4.53465223e+00,-4.34094250e-01
        Walking,              2,  1546776621951,-1.39044428e+00,-5.47026777e+00, 4.98013079e-01
        Walking,              2,  1546776622052, 4.34587765e+00, 1.75795555e-02, 6.77454472e-03
        Walking,              2,  1546776622153, 1.67816401e+00, 4.60787392e+00,-1.16319537e+00
        Walking,              2,  1546776622254,-1.75016165e+00, 6.94058418e-01,-1.88886476e+00
        Walking,              2,  1546776622355,-2.03827667e+00,-1.11076307e+00,-3.02205420e+00
        Walking,              2,  1546776622456,-5.18434429e+00,-4.10103369e+00,-4.83093452e+00
        Walking,              2,  1546776622556, 2.53249192e+00, 8.96856785e-01,-2.03085327e+00
        Walking,              2,  1546776622657, 7.07841015e+00, 4.77421474e+00, 7.50757217e-01
        Walking,              2,  1546776622757, 6.87449789e+00, 4.80632210e+00, 1.10732865e+00
        Walking,              2,  1546776622858,-1.03404522e-01,-5.35886860e+00, 7.71317005e+00
        Walking,              2,  1546776622958,-7.07351685e-01,-4.97781563e+00, 7.75031853e+00
        Walking,              2,  1546776623059, 1.46711135e+00,-1.35105896e+00,-8.20373058e-01
        Walking,              2,  1546776623159, 5.00826931e+00, 5.06312180e+00, 5.48373938e-01
        Walking,              2,  1546776623260, 6.46523714e-01, 3.21159077e+00,-1.79592609e+00
        Walking,              2,  1546776623360,-9.67988586e+00,-3.02648354e+00, 3.16674423e+00
        Walking,              2,  1546776623460, 1.77707076e+00,-2.51672554e+00,-5.18875694e+00
        Walking,              2,  1546776623561, 8.37566137e-01, 3.11694193e+00,-5.12972832e-01
        Walking,              2,  1546776623661, 5.72084188e-01, 3.07828093e+00,-8.28168392e-02
        Walking,              2,  1546776623761, 2.69884586e-01, 6.75111675e+00, 1.70972931e+00
        Walking,              2,  1546776623861,-1.68922782e+00,-2.25149155e+00, 1.45686269e-01
        Walking,              2,  1546776623962,-5.00411701e+00,-4.84847164e+00,-2.75882244e+00
        Walking,              2,  1546776624062,-2.21493006e-01, 3.07895708e+00, 9.57837820e-01
        Walking,              2,  1546776624147, 1.59193301e+00, 5.29290342e+00,-3.20636034e+00
        Walking,              2,  1546776624247, 1.04579079e+00,-3.56072426e+00,-1.69003010e+00
        Walking,              2,  1546776624347, 3.44976163e+00, 8.83841515e-01,-5.75596857e+00
        Walking,              2,  1546776624447, 4.46963549e-01, 7.00130463e-02,-4.07579708e+00
        Walking,              2,  1546776624548, 6.91031337e-01, 2.43462420e+00, 4.88482714e-02
        Walking,              2,  1546776624648, 3.61969471e-01, 8.95556736e+00,-6.30402088e+00
        Walking,              2,  1546776624748,-8.53320360e-02, 8.80996323e+00,-5.49246645e+00
        Walking,              2,  1546776624847,-4.71955967e+00,-8.58709145e+00, 2.41184235e-01
        Walking,              2,  1546776624948, 3.35373783e+00,-7.44560528e+00, 1.57968271e+00
        Walking,              2,  1546776625048, 8.65915298e-01, 3.58509731e+00,-7.61495590e-01
