     "Activity",           "ID",     "Time[ms]",           "ax",           "ay",           "az"
       Standing,              1,  1546944309240,-1.50533354e+00,-2.36767769e-01, 3.81674099e+00
       Standing,              1,  1546944309340,-2.50787568e+00, 8.58237743e-01, 4.03750038e+00
       Standing,              1,  1546944309440,-2.78269053e+00,-1.12402010e+00, 8.28316689e-01
       Standing,              1,  1546944309540,-2.19963360e+00,-1.45649266e+00,-3.26453209e-01
       Standing,              1,  1546944309640,-7.00290978e-01, 2.59595037e-01, 1.31574535e+00
       Standing,              1,  1546944309740,-4.09720600e-01,-1.01161003e-01,-5.55728912e-01
       Standing,              1,  1546944309840, 6.90516829e-01,-9.45520282e-01,-1.05582047e+00
       Standing,              1,  1546944309939,-7.35333681e-01, 1.23286498e+00,-2.12502480e-01
       Standing,              1,  1546944310040,-4.82614994e-01, 6.84716940e-01,-4.43564415e-01
       Standing,              1,  1546944310140,-2.97626734e-01,-8.40981245e-01, 1.36026382e-01
       Standing,              1,  1546944310240,-1.07982397e+00,-1.29365063e+00,-8.55862141e-01
       Standing,              1,  1546944310340,-9.16838169e-01,-7.92318344e-01, 3.73499012e+00
       Standing,              1,  1546944310439,-2.29379606e+00, 3.48148298e+00,-3.06992912e+00
       Standing,              1,  1546944310540, 3.65131378e+00,-9.88211811e-01,-1.43650055e+00
       Standing,              1,  1546944310640, 1.76632166e+00, 2.03380585e+00, 7.47604132e+00
       Standing,              1,  1546944310739,-1.08751297e+00,-1.70168877e-02,-9.92597580e-01
       Standing,              1,  1546944310840,-8.06731701e-01,-8.46355915e-01,-1.21217012e+00
       Standing,              1,  1546944310939, 1.58427024e+00, 3.89761019e+00,-9.42018509e-01
       Standing,              1,  1546944311039, 2.17707491e+00,-3.37116718e-01,-1.00559092e+00
       Standing,              1,  1546944311139,-8.55015993e-01, 1.24497747e+00, 1.85341835e-02
       Standing,              1,  1546944311239, 6.25304461e-01,-5.92351437e-01,-8.83550644e-02
       Standing,              1,  1546944311339, 2.27800155e+00, 7.85927773e-01, 3.60588074e-01
       Standing,              1,  1546944311441, 1.45828485e+00, 4.88898754e-01,-2.19579697e+00
       Standing,              1,  1546944311541, 1.89934361e+00, 1.41524649e+00,-1.46749496e+00
       Standing,              1,  1546944311641,-7.88138866e-01,-3.44756317e+00,-2.05093861e-01
       Standing,              1,  1546944311741,-2.13600230e+00, 2.01213312e+00, 1.14465237e-01
       Standing,              1,  1546944311841, 1.04941058e+00,-8.87999058e-01,-4.06024694e+00
       Standing,              1,  1546944311940, 3.33322287e-01,-1.04892254e+00,-8.78739834e-01
