     "Activity",           "ID",     "Time[ms]",           "ax",           "ay",           "az"
        Walking,              2,  1546812094102, 1.03357160e+00,-2.96473026e+00, 1.46741867e-01
        Walking,              2,  1546812094204, 6.28134489e-01,-3.23090839e+00,-3.77772141e+00
        Walking,              2,  1546812094305, 1.80263758e-01,-2.38569069e+00,-4.05033398e+00
        Walking,              2,  1546812094406,-3.43111753e-02, 1.73542261e-01,-4.20184135e-01
        Walking,              2,  1546812094508, 3.42957163e+00,-7.03106165e-01, 5.55637455e+00
        Walking,              2,  1546812094610, 3.43826771e+00,-6.71036243e-01, 5.54350948e+00
        Walking,              2,  1546812094712,-7.76896954e-01,-2.51958847e+00, 9.22090530e-01
        Walking,              2,  1546812094813,-2.33264089e+00, 1.30718756e+00,-3.67809439e+00
        Walking,              2,  1546812094914, 3.32807064e-01, 2.64498234e-01,-1.47809649e+00
        Walking,              2,  1546812095015,-1.48475647e-01, 1.26759219e+00, 3.92583466e+00
        Walking,              2,  1546812095116,-8.03045273e-01,-1.47408855e+00, 2.11500263e+00
        Walking,              2,  1546812095218, 1.05749440e+00,-1.88126302e+00,-1.70713949e+00
        Walking,              2,  1546812095319, 1.84206796e+00, 1.03969097e-01,-3.00929165e+00
        Walking,              2,  1546812095420, 1.20814562e-01, 1.03826523e-01, 1.42754555e-01
        Walking,              2,  1546812095522, 1.82354450e-01, 1.76678753e+00, 4.99100494e+00
        Walking,              2,  1546812095622, 9.60391283e-01,-2.44633722e+00, 9.24304008e-01
        Walking,              2,  1546812095724,-1.18512440e+00,-6.24685049e-01,-2.89578772e+00
        Walking,              2,  1546812095825, 3.69475842e-01, 5.94223022e-01,-2.99330616e+00
        Walking,              2,  1546812095926,-1.93335056e-01, 1.72736633e+00,-5.18019199e-01
        Walking,              2,  1546812096027, 2.93958330e+00,-7.93082476e-01, 1.16700125e+00
        Walking,              2,  1546812096128, 2.75599623e+00,-2.91538405e+00,-2.18988037e+00
        Walking,              2,  1546812096229, 3.42976904e+00,-2.67778420e+00,-3.49476719e+00
        Walking,              2,  1546812096331,-1.87186241e-01, 8.10578108e-01, 7.32661009e-01
        Walking,              2,  1546812096432, 3.56140137e-02, 6.33175135e-01, 1.15431166e+00
        Walking,              2,  1546812096533,-2.04306984e+00,-8.41036081e-01,-3.50512362e+00
        Walking,              2,  1546812096634,-2.19704342e+00, 4.86884117e-02,-2.31185055e+00
        Walking,              2,  1546812096735, 3.98031521e+00, 6.74699783e-01,-2.82832789e+00
        Walking,              2,  1546812096835, 5.37661314e+00, 1.61896706e+00,-4.79636431e-01
        Walking,              2,  1546812096936, 4.06580925e+00,-1.02320004e+00, 2.98053646e+00
        Walking,              2,  1546812097037,-2.09385967e+00,-1.62634897e+00,-1.23065400e+00
        Walking,              2,  1546812097138,-4.64148855e+00,-1.23084211e+00,-3.58966827e+00
        Walking,              2,  1546812097239,-4.87013054e+00,-1.05710030e+00,-3.64221978e+00
        Walking,              2,  1546812097340,-2.52853394e-01, 3.36258554e+00, 4.76830244e-01
        Walking,              2,  1546812097441,-2.04568720e+00, 1.22169542e+00,-5.07207870e-01
