     "Activity",           "ID",     "Time[ms]",           "ax",           "ay",           "az"
        Running,              3,  1546952992012, 2.23508549e+00, 4.99382019e-02,-1.83818531e+00
        Running,              3,  1546952992113, 6.91769958e-01, 8.93516302e-01, 1.41860104e+00
        Running,              3,  1546952992212, 1.48437297e+00,-5.14205694e-01, 4.66544437e+00
        Running,              3,  1546952992312, 1.08534431e+00,-2.75654197e+00, 3.96420479e+00
        Running,              3,  1546952992413, 5.98160982e-01,-1.23492479e+00,-2.32010841e-01
        Running,              3,  1546952992513, 5.89469790e-01,-1.54859042e+00, 2.91443825e-01
        Running,              3,  1546952992614, 1.07069206e+00,-4.42351580e-01,-1.20153427e+00
        Running,              3,  1546952992713, 5.93490183e-01,-4.95965481e-02,-1.90225649e+00
        Running,              3,  1546952992814,-3.07626545e-01, 7.71856546e-01,-2.01725960e-01
        Running,              3,  1546952992914, 2.14147568e-03,-3.77457142e-01,-9.04863834e-01
        Running,              3,  1546952993014,-2.39180326e-01, 1.13064146e+00, 2.94513702e-01
        Running,              3,  1546952993114, 1.70079732e+00,-2.04797959e+00, 1.54756927e+00
        Running,              3,  1546952993214, 9.10568237e-03,-1.05986238e+00, 5.42682648e-01
        Running,              3,  1546952993314,-3.33843231e-01,-1.73878121e+00,-4.64606619e+00
        Running,              3,  1546952993414, 2.39097309e+00,-7.33452797e-01, 3.86576939e+00
        Running,              3,  1546952993514,-1.05024052e+00,-2.50763655e+00, 1.42692137e+00
        Running,              3,  1546952993615,-7.59738922e-01,-1.25168669e+00,-4.40902710e-01
        Running,              3,  1546952993714,-2.41656685e+00,-5.72281957e-01, 2.33273983e+00
        Running,              3,  1546952993814,-1.78821278e+00,-2.12027621e+00,-4.51733947e-01
        Running,              3,  1546952993914,-1.60880375e+00,-1.66509008e+00, 8.73774588e-01
        Running,              3,  1546952994014, 4.34891605e+00, 6.10135555e-01, 5.65486610e-01
        Running,              3,  1546952994113, 2.08162785e-01, 1.02395391e+00, 4.05772495e+00
        Running,              3,  1546952994213,-1.09212399e+00, 1.11694145e+00, 1.02797449e+00
        Running,              3,  1546952994313,-3.97133732e+00, 1.96811199e-01,-1.13371515e+00
        Running,              3,  1546952994413,-3.26260662e+00,-3.83657932e-01,-3.91779804e+00
        Running,              3,  1546952994513, 2.77689290e+00, 1.45990372e+00,-3.49695754e+00
        Running,              3,  1546952994614, 5.80120087e+00,-3.00365925e+00,-5.56121922e+00
        Running,              3,  1546952994714,-6.59548569e+00,-3.21699333e+00, 2.60534406e+00
        Running,              3,  1546952994814, 3.20850372e-01,-1.71984482e+00, 7.47484827e+00
        Running,              3,  1546952994914, 2.68033814e+00,-1.99405670e-01, 4.69733804e-01
        Running,              3,  1546952995014,-1.84355736e-01, 9.61878300e-01,-1.63110042e+00
