     "Activity",           "ID",     "Time[ms]",           "ax",           "ay",           "az"
        Walking,              2,  1546745724890,-1.56056428e+00, 2.65396118e-01,-1.80303192e+00
        Walking,              2,  1546745724992, 1.59990799e+00, 1.55488253e-01,-1.39427853e+00
        Walking,              2,  1546745725094, 2.91393900e+00, 4.51219559e-01,-1.64535236e+00
        Walking,              2,  1546745725195,-1.60887444e+00,-2.73420811e+00, 4.04044533e+00
        Walking,              2,  1546745725295,-8.17280710e-01,-1.86454630e+00,-1.66865540e+00
        Walking,              2,  1546745725396,-2.44608581e-01,-1.63325310e-01,-5.66486835e+00
        Walking,              2,  1546745725498, 6.66098595e-02, 3.31460714e-01,-2.46688032e+00
        Walking,              2,  1546745725599,-2.44542408e+00,-7.74692297e-01, 3.06741142e+00
        Walking,              2,  1546745725700,-1.05514336e+00,-8.24640751e-01, 3.38022995e+00
        Walking,              2,  1546745725801,-4.71938372e-01,-8.25306892e-01, 4.93667793e+00
        Walking,              2,  1546745725902, 1.44531703e+00, 2.85945892e-01,-2.65691471e+00
        Walking,              2,  1546745726004, 2.73325014e+00, 2.58660316e-01,-1.69917583e+00
        Walking,              2,  1546745726105,-7.53039789e+00,-1.45124650e+00,-2.08957148e+00
        Walking,              2,  1546745726206,-3.05080318e+00,-1.61908603e+00, 4.57504177e+00
        Walking,              2,  1546745726307,-2.40285587e+00,-1.18885922e+00, 5.13367510e+00
        Walking,              2,  1546745726408,-6.59062386e-01,-1.42176342e+00,-2.97616649e+00
        Walking,              2,  1546745726509,-1.98237610e+00, 4.02874768e-01, 1.68628097e+00
        Walking,              2,  1546745726609,-3.36878109e+00, 4.23344016e-01, 1.03983295e+00
        Walking,              2,  1546745726710,-3.27482414e+00, 2.98741460e-01, 1.70453429e+00
        Walking,              2,  1546745726811,-2.74748325e+00,-2.58243084e-02,-2.10011482e+00
        Walking,              2,  1546745726912, 1.66387558e+00, 1.91634583e+00,-3.99784565e+00
        Walking,              2,  1546745727013, 3.18928242e-01, 2.83880997e+00, 1.50537193e-01
        Walking,              2,  1546745727113, 2.06157398e+00, 2.34994221e+00, 1.08087564e+00
        Walking,              2,  1546745727214, 5.01196623e+00, 2.01742172e-01, 2.28461790e+00
        Walking,              2,  1546745727315, 6.16884232e-02,-7.60177612e-01,-1.13747060e+00
        Walking,              2,  1546745727415,-1.01245356e+00, 2.23389006e+00,-2.40292621e+00
        Walking,              2,  1546745727516,-1.39837527e+00, 2.29147005e+00,-2.18223333e+00
        Walking,              2,  1546745727617,-4.43889809e+00, 2.22732019e+00,-4.74642754e+00
        Walking,              2,  1546745727717, 1.07420325e+00, 2.96835899e+00,-1.86962414e+00
        Walking,              2,  1546745727817,-2.81712604e+00,-4.76594448e+00,-6.41522312e+00
        Walking,              2,  1546745727918, 3.89317632e+00, 2.42231464e+00, 2.79045391e+00
        Walking,              2,  1546745728019, 4.20006847e+00, 4.62458563e+00,-3.04173827e-01
        Walking,              2,  1546745728118,-3.53116226e+00, 7.89628983e-01,-5.25205183e+00
        Walking,              2,  1546745728220,-3.11416602e+00, 7.22123146e-01,-5.39093590e+00
        Walking,              2,  1546745728320,-2.01409173e+00, 3.57676506e-01,-6.25979900e-03
        Walking,              2,  1546745728420, 2.41385794e+00,-2.41382408e+00, 1.10808730e+00
        Walking,              2,  1546745728520, 2.74074936e+00, 3.87691164e+00, 5.36878169e-01
        Walking,              2,  1546745728620, 2.12234640e+00, 3.60854959e+00, 1.91543198e+00
        Walking,              2,  1546745728721, 2.19757676e+00, 3.57771063e+00, 1.92217731e+00
        Walking,              2,  1546745728820,-1.35349083e+00,-6.16304684e+00,-2.58691907e+00
        Walking,              2,  1546745728920, 2.67436171e+00, 1.62137556e+00,-1.71920526e+00
        Walking,              2,  1546745729021, 3.56541753e-01, 1.85627890e+00,-6.64167762e-01
        Walking,              2,  1546745729121,-1.50645828e+00, 5.04469681e+00, 1.95497906e+00
        Walking,              2,  1546745729221,-1.15409923e+00, 5.07916260e+00, 1.78850842e+00
        Walking,              2,  1546745729321,-2.74629593e-01,-5.19907665e+00, 4.50744724e+00
        Walking,              2,  1546745729421, 9.89343226e-01,-2.31242752e+00,-2.65964580e+00
        Walking,              2,  1546745729521, 4.67123747e-01, 1.98794794e+00, 2.60434341e+00
        Walking,              2,  1546745729621, 3.75961208e+00, 6.75453091e+00,-1.43036783e+00
        Walking,              2,  1546745729721, 5.95107317e-01, 2.84834623e+00, 3.31516409e+00
        Walking,              2,  1546745729821,-1.68430543e+00, 4.48847628e+00, 5.81510067e-02
        Walking,              2,  1546745729921,-9.78393555e-01, 4.46098852e+00, 1.47207963e+00
        Walking,              2,  1546745730007, 9.72620487e+00, 6.21002102e+00, 1.09142256e+01
        Walking,              2,  1546745730107,-9.78065610e-01,-8.69217873e-01, 2.89568639e+00
        Walking,              2,  1546745730206,-1.48418725e-01, 4.16437864e+00, 4.17666912e-01
        Walking,              2,  1546745730307,-6.98598337e+00,-4.15015888e+00, 1.16999745e+00
        Walking,              2,  1546745730406,-5.39216852e+00, 8.32855225e-01, 3.44730711e+00
        Walking,              2,  1546745730507, 4.27316761e+00,-6.12504768e+00,-6.36249304e-01
        Walking,              2,  1546745730607, 3.42158318e+00, 5.14616013e+00,-3.82101774e+00
        Walking,              2,  1546745730707, 5.14684916e+00, 7.34105825e+00,-2.87957478e+00
        Walking,              2,  1546745730807,-8.07455349e+00,-9.46188831e+00, 7.79749012e+00
        Walking,              2,  1546745730907, 5.56722164e+00,-3.94342136e+00,-9.38549232e+00
        Walking,              2,  1546745731006, 4.70663404e+00,-3.05544472e+00,-7.37491035e+00
        Walking,              2,  1546745731107, 1.72134972e+00, 2.87124681e+00, 1.38971865e-01
        Walking,              2,  1546745731207, 4.60956097e-02, 1.73498106e+00, 2.63806033e+00
        Walking,              2,  1546745731307, 8.26555014e-01,-2.79708672e+00, 2.10618210e+00
        Walking,              2,  1546745731407,-7.40681028e+00,-5.10715008e+00, 2.48105884e-01
        Walking,              2,  1546745731507, 3.64233589e+00,-5.50031471e+00,-2.07705855e+00
        Walking,              2,  1546745731607, 4.37173176e+00, 6.18249893e-01,-2.67666054e+00
        Walking,              2,  1546745731707, 5.88400650e+00, 8.13268661e+00,-4.26230049e+00
        Walking,              2,  1546745731807,-9.71197367e-01, 2.10519361e+00, 6.89559174e+00
        Walking,              2,  1546745731907, 1.90190554e-01, 6.35870266e+00,-3.54119301e-01
        Walking,              2,  1546745732008, 1.79198208e+01, 4.87546921e-02, 1.01675472e+01
        Walking,              2,  1546745732108,-5.65444756e+00, 6.40075684e-01,-1.08566463e+00
        Walking,              2,  1546745732208, 4.54653454e+00, 2.43090820e+00, 4.41363066e-01
        Walking,              2,  1546745732307,-2.90394306e+00, 8.40020180e-01, 1.04704976e+00
        Walking,              2,  1546745732408,-6.20083761e+00,-2.64917755e+00,-2.90798616e+00
        Walking,              2,  1546745732507,-5.62537384e+00,-2.56747818e+00,-3.46570587e+00
        Walking,              2,  1546745732607, 4.71150398e+00,-9.48567295e+00,-8.65084171e-01
        Walking,              2,  1546745732707, 5.27774286e+00, 4.00593042e+00,-2.91474009e+00
        Walking,              2,  1546745732807, 5.65127945e+00, 3.72251272e+00,-3.40403223e+00
        Walking,              2,  1546745732908, 5.64531994e+00, 7.65829754e+00,-2.70164466e+00
        Walking,              2,  1546745733008,-7.30122375e+00,-1.25717974e+01, 8.08071518e+00
        Walking,              2,  1546745733107,-4.40099478e-01,-1.52930231e+01, 5.70090675e+00
        Walking,              2,  1546745733207, 2.08060551e+00,-2.56011009e-01,-1.46437826e+01
        Walking,              2,  1546745733308, 9.13827956e-01, 1.23145485e+00, 9.84881520e-01
        Walking,              2,  1546745733407,-4.50963926e+00, 9.19773102e-01, 3.49232674e+00
        Walking,              2,  1546745733507,-5.94850540e+00,-3.79535198e+00, 1.50629878e+00
        Walking,              2,  1546745733608, 1.31623149e+00,-3.06373596e+00, 7.93843269e-02
        Walking,              2,  1546745733707, 1.55079877e+00,-1.06041908e+00,-4.59612274e+00
        Walking,              2,  1546745733807, 5.95573950e+00, 6.80827904e+00,-4.25571966e+00
        Walking,              2,  1546745733907, 3.12943578e+00, 3.68211269e+00, 2.82155514e-01
        Walking,              2,  1546745734007,-7.24608278e+00, 3.90278530e+00, 2.23419380e+00
        Walking,              2,  1546745734107, 2.30296688e+01, 3.91504574e+00, 1.17408895e+01
        Walking,              2,  1546745734208,-5.19272995e+00, 9.00802612e-01,-1.50042355e+00
        Walking,              2,  1546745734307,-1.05108619e+00, 2.65645027e+00,-7.74202049e-01
        Walking,              2,  1546745734407,-2.28357291e+00,-1.82895660e-02,-1.08737469e-01
        Walking,              2,  1546745734507,-2.84238458e+00,-3.91740799e-02, 2.96077728e-02
        Walking,              2,  1546745734607,-5.53716183e+00, 2.13640213e-01, 2.41147518e+00
        Walking,              2,  1546745734707, 3.54745078e+00,-6.65418243e+00,-4.69681710e-01
        Walking,              2,  1546745734807, 4.73909044e+00, 4.31373215e+00,-3.46427083e+00
        Walking,              2,  1546745734907, 5.85867167e+00, 7.48512506e+00,-3.52696657e+00
        Walking,              2,  1546745735007,-9.39145279e+00,-1.36532221e+01, 8.39604855e+00
        Walking,              2,  1546745735107,-3.55805397e-01,-2.10867748e+01,-5.24488163e+00
        Walking,              2,  1546745735207, 3.15671349e+00,-9.50928688e-01,-6.40727329e+00
        Walking,              2,  1546745735307, 3.28016376e+00, 2.34302473e+00, 4.67774272e-01
        Walking,              2,  1546745735407, 3.20307016e-01, 1.41135597e+00, 2.80099130e+00
        Walking,              2,  1546745735507,-6.24364972e-01,-7.45799065e-01, 2.31989980e+00
        Walking,              2,  1546745735607,-9.01922131e+00,-4.05296040e+00, 1.35268092e+00
        Walking,              2,  1546745735706, 3.71800756e+00,-1.10274000e+01,-1.84770167e+00
        Walking,              2,  1546745735807,-1.92143273e+00, 1.32457399e+00,-1.44677484e+00
        Walking,              2,  1546745735907, 6.40911055e+00, 7.47195816e+00,-4.33594370e+00
        Walking,              2,  1546745736007, 3.59206676e-01, 1.48587036e+00, 4.99881268e+00
        Walking,              2,  1546745736107,-1.92952156e-01, 6.76866293e+00,-1.49327254e+00
        Walking,              2,  1546745736207, 6.99490499e+00, 2.00494432e+00,-1.99866867e+00
        Walking,              2,  1546745736307,-6.99777889e+00,-1.24828815e+00,-1.25043893e+00
        Walking,              2,  1546745736407,-1.35605097e+00, 2.49906301e+00, 1.91907883e-01
        Walking,              2,  1546745736507,-2.55351210e+00, 1.03627300e+00, 3.23375702e-01
        Walking,              2,  1546745736606,-4.91223478e+00,-1.26976204e+00,-1.34012842e+00
        Walking,              2,  1546745736707,-4.98380613e+00,-5.89299202e-01, 2.81054926e+00
        Walking,              2,  1546745736806,-2.77112126e+00,-9.43404198e-01, 4.89821434e-01
        Walking,              2,  1546745736906, 5.06492519e+00, 3.12250280e+00,-3.45143747e+00
        Walking,              2,  1546745737006, 5.71545315e+00, 7.27174950e+00,-3.86295366e+00
        Walking,              2,  1546745737107,-8.00836563e+00,-1.05904799e+01, 8.60043812e+00
        Walking,              2,  1546745737207, 7.74844646e+00, 8.26421261e-01,-2.55946493e+00
        Walking,              2,  1546745737306, 5.47779369e+00, 3.07515669e+00,-1.76937866e+01
        Walking,              2,  1546745737407, 3.20527720e+00, 2.69705105e+00, 6.51527166e-01
        Walking,              2,  1546745737507, 7.37178087e-01, 1.51072025e+00, 1.57958603e+00
        Walking,              2,  1546745737607,-5.17054033e+00, 1.01597786e+00, 3.40524673e+00
        Walking,              2,  1546745737706,-3.75803781e+00,-4.21393871e+00, 2.90729809e+00
        Walking,              2,  1546745737807,-3.97247100e+00,-2.82672882e-01, 1.15300357e+00
        Walking,              2,  1546745737906, 1.64407885e+00,-2.77731609e+00,-9.82776344e-01
        Walking,              2,  1546745738006, 6.11437321e+00, 4.71712303e+00,-4.30570126e+00
        Walking,              2,  1546745738106, 5.56230783e+00, 5.17920589e+00,-2.93675852e+00
        Walking,              2,  1546745738206,-9.45417976e+00,-9.86009884e+00, 6.81999683e+00
        Walking,              2,  1546745738306,-1.86321163e+00,-1.83867683e+01,-1.28053932e+01
        Walking,              2,  1546745738406, 1.19244385e+00,-5.57721710e+00,-1.98630226e+00
        Walking,              2,  1546745738506, 3.22524238e+00, 2.68736935e+00, 5.91684997e-01
        Walking,              2,  1546745738606,-5.60283422e-01, 1.73556995e+00, 1.93493462e+00
        Walking,              2,  1546745738706,-2.18754709e-01,-2.27783871e+00, 2.72199845e+00
        Walking,              2,  1546745738807,-7.73391962e+00,-3.55933285e+00, 1.89958942e+00
        Walking,              2,  1546745738907, 4.41070461e+00,-1.06661806e+01,-3.10656571e+00
        Walking,              2,  1546745739006,-9.91606712e-02, 2.15855694e+00,-2.65516067e+00
        Walking,              2,  1546745739106, 6.54593706e+00, 7.28933716e+00,-3.87768841e+00
        Walking,              2,  1546745739206,-1.32882214e+00,-4.37254906e-01, 6.93954992e+00
        Walking,              2,  1546745739306, 3.23143387e+00, 3.37500191e+00,-4.25100088e-01
        Walking,              2,  1546745739406, 3.85199213e+00, 7.71623611e-01,-2.86048794e+00
        Walking,              2,  1546745739506,-7.41099596e-01, 1.95808029e+00,-6.42030835e-02
        Walking,              2,  1546745739606,-1.27853787e+00, 2.28072214e+00,-6.13955259e-02
        Walking,              2,  1546745739706,-3.90676212e+00, 3.70893478e-01,-1.25599694e+00
        Walking,              2,  1546745739806,-6.09483147e+00,-3.33916378e+00, 1.58091879e+00
        Walking,              2,  1546745739906,-4.73299026e+00, 3.93008232e-01, 3.33429003e+00
        Walking,              2,  1546745740006, 3.02978826e+00,-5.28418446e+00,-4.04222906e-01
        Walking,              2,  1546745740105, 4.28755903e+00, 4.13640022e+00,-4.18928099e+00
        Walking,              2,  1546745740206, 5.68231964e+00, 6.85450935e+00,-3.16051507e+00
        Walking,              2,  1546745740306,-1.00694284e+01,-1.40256605e+01, 8.82883072e+00
        Walking,              2,  1546745740406,-5.20376968e+00,-1.89208145e+01,-9.51235199e+00
        Walking,              2,  1546745740506, 1.91735613e+00,-7.45126057e+00,-1.32470369e+00
        Walking,              2,  1546745740606, 2.69620180e+00, 2.65587711e+00, 6.71135247e-01
        Walking,              2,  1546745740706, 9.69705582e-02, 1.07205677e+00, 2.06200004e+00
        Walking,              2,  1546745740806,-7.69245386e-01,-2.82298088e-01, 3.90705252e+00
        Walking,              2,  1546745740905,-8.30241585e+00,-5.37692165e+00,-1.86508179e-01
        Walking,              2,  1546745741006, 3.19189477e+00,-6.83239460e+00,-1.78712630e+00
        Walking,              2,  1546745741105,-5.85175037e-01, 5.72882652e-01,-3.13967514e+00
        Walking,              2,  1546745741206, 6.25510979e+00, 7.10407925e+00,-4.62687683e+00
        Walking,              2,  1546745741306, 1.22759151e+00, 2.14039803e+00, 1.99208498e+00
        Walking,              2,  1546745741406,-1.62543535e+00, 5.66305494e+00,-1.69306588e+00
        Walking,              2,  1546745741506, 1.84220886e+01,-7.38010406e-02, 1.41926222e+01
        Walking,              2,  1546745741605,-4.50296688e+00, 1.34334660e+00,-1.75821349e-01
        Walking,              2,  1546745741705,-1.73117566e+00, 2.53169584e+00,-2.33722448e-01
        Walking,              2,  1546745741805,-3.54698563e+00, 2.78820992e-01,-5.84695339e-01
        Walking,              2,  1546745741905,-5.60170031e+00,-2.87949848e+00,-1.52862382e+00
        Walking,              2,  1546745742005,-4.04799318e+00,-5.21908760e-01, 3.71751428e+00
        Walking,              2,  1546745742106, 4.27297449e+00,-6.72811604e+00, 8.83573890e-01
        Walking,              2,  1546745742205, 3.90354443e+00, 4.47767544e+00,-3.78270054e+00
        Walking,              2,  1546745742305, 5.23208857e+00, 7.23133230e+00,-3.19831944e+00
        Walking,              2,  1546745742405,-9.22043800e+00,-1.46767406e+01, 9.12820721e+00
        Walking,              2,  1546745742505,-7.18299246e+00,-1.82203407e+01,-1.13725014e+01
        Walking,              2,  1546745742605, 1.96911669e+00,-6.70844173e+00,-3.53279471e-01
        Walking,              2,  1546745742705, 2.88064551e+00, 2.43197107e+00, 8.44681501e-01
        Walking,              2,  1546745742805, 6.04594648e-01, 1.24914932e+00, 2.06753588e+00
        Walking,              2,  1546745742905,-8.40327859e-01,-9.73616600e-01, 2.47947097e+00
        Walking,              2,  1546745743006,-9.45643044e+00,-4.99604130e+00, 8.81416798e-01
        Walking,              2,  1546745743105, 4.50505781e+00,-9.11778355e+00,-1.13697207e+00
        Walking,              2,  1546745743205, 8.88003826e-01, 1.45107222e+00,-2.37752581e+00
        Walking,              2,  1546745743305, 6.22229433e+00, 7.37524080e+00,-4.30152988e+00
        Walking,              2,  1546745743405,-4.54254150e-02, 5.42137146e-01, 7.64314699e+00
        Walking,              2,  1546745743505, 5.38102293e+00, 7.05011272e+00,-3.58015060e-01
        Walking,              2,  1546745743605, 1.34824018e+01,-8.71822357e-01, 7.29020596e+00
        Walking,              2,  1546745743705,-2.91507697e+00, 1.95943308e+00,-2.68542737e-01
        Walking,              2,  1546745743805, 5.13499498e-01, 3.03984642e+00, 5.86917520e-01
        Walking,              2,  1546745743905,-2.40846729e+00, 5.87816238e-01,-1.26880217e+00
        Walking,              2,  1546745744005,-6.55804300e+00,-3.88216305e+00, 4.46312428e-02
        Walking,              2,  1546745744105,-3.59781456e+00,-3.92601967e-01, 3.69334245e+00
        Walking,              2,  1546745744205, 3.25737476e+00,-4.71727371e+00,-4.20923412e-01
        Walking,              2,  1546745744304, 4.30908203e+00, 4.35097551e+00,-3.96163177e+00
        Walking,              2,  1546745744405, 5.76555395e+00, 7.47678757e+00,-2.59216475e+00
        Walking,              2,  1546745744505,-1.06737242e+01,-1.11835041e+01, 9.14502335e+00
        Walking,              2,  1546745744605, 5.02012730e-01,-1.96810493e+01,-1.13432732e+01
        Walking,              2,  1546745744705, 2.53220081e-01,-8.06558514e+00, 1.79866147e+00
        Walking,              2,  1546745744804, 2.12453246e+00, 1.89252043e+00, 1.35260582e-01
        Walking,              2,  1546745744905,-7.63363123e-01, 1.05030727e+00, 3.71519661e+00
        Walking,              2,  1546745745005,-1.39602113e+00,-2.16479301e+00, 1.83051038e+00
        Walking,              2,  1546745745105,-7.74088144e+00,-2.99511147e+00, 7.56265879e-01
        Walking,              2,  1546745745205, 4.60464144e+00,-1.17383032e+01,-3.61212754e+00
        Walking,              2,  1546745745305, 8.45912218e-01, 1.46186256e+00,-2.64119339e+00
        Walking,              2,  1546745745404, 6.33339882e+00, 8.00310040e+00,-4.25691366e+00
        Walking,              2,  1546745745505,-3.46939659e+00,-2.54648209e+00, 1.30183792e+01
        Walking,              2,  1546745745605, 3.92904711e+00, 7.52798271e+00, 1.16442752e+00
        Walking,              2,  1546745745704, 9.43133545e+00,-1.36202812e+00, 3.36763191e+00
        Walking,              2,  1546745745804,-1.85210180e+00, 1.31812429e+00,-5.55260032e-02
        Walking,              2,  1546745745904,-1.08803451e+00, 2.67210293e+00,-5.27456522e-01
        Walking,              2,  1546745746004,-2.25042391e+00, 2.65663528e+00, 4.48686838e-01
        Walking,              2,  1546745746104,-6.53297424e+00,-2.20471764e+00,-1.15701675e-01
        Walking,              2,  1546745746204,-4.52795362e+00,-5.60894012e-02, 3.56566715e+00
        Walking,              2,  1546745746304, 3.20200753e+00,-6.38769817e+00, 3.57067764e-01
        Walking,              2,  1546745746405, 4.92837954e+00, 4.55437469e+00,-3.76791191e+00
        Walking,              2,  1546745746504, 6.45970392e+00, 7.90650177e+00,-3.55733705e+00
        Walking,              2,  1546745746605,-1.03667278e+01,-1.37565565e+01, 7.79189062e+00
        Walking,              2,  1546745746704, 9.12853718e-01,-2.05420036e+01,-1.43543482e+01
        Walking,              2,  1546745746804,-1.41994739e+00,-7.88576508e+00,-2.30775023e+00
        Walking,              2,  1546745746904, 2.65937901e+00, 1.59485722e+00, 3.05884629e-01
        Walking,              2,  1546745747004,-4.05216575e-01, 5.20761490e-01, 3.16387224e+00
        Walking,              2,  1546745747104,-2.75255322e+00,-1.59150124e+00, 1.88142765e+00
        Walking,              2,  1546745747205,-6.66415119e+00,-3.34770012e+00, 1.62166595e+00
        Walking,              2,  1546745747305, 5.23273754e+00,-1.48801594e+01,-2.86867714e+00
        Walking,              2,  1546745747405, 9.67123270e-01, 6.64447784e-01,-2.87254500e+00
        Walking,              2,  1546745747505, 6.61390400e+00, 8.17255211e+00,-4.96067333e+00
        Walking,              2,  1546745747604,-2.01642036e+00,-3.55644798e+00, 1.48482666e+01
        Walking,              2,  1546745747704, 5.45803452e+00, 4.21312857e+00, 1.69041085e+00
        Walking,              2,  1546745747805, 2.52605438e+00, 1.70446873e+00,-1.39487772e+01
        Walking,              2,  1546745747904, 1.37619221e+00, 1.61778212e+00,-2.99915552e-01
        Walking,              2,  1546745748005, 2.04282522e+00, 2.73899698e+00, 1.94747567e-01
        Walking,              2,  1546745748105,-5.32843590e+00, 2.61565208e-01,-5.78272820e-01
        Walking,              2,  1546745748205,-5.42707491e+00,-2.71070480e+00, 1.49528706e+00
        Walking,              2,  1546745748304,-4.43877506e+00, 3.91395569e-01, 2.06081223e+00
        Walking,              2,  1546745748404, 2.78953648e+00,-5.22497272e+00,-5.71666479e-01
        Walking,              2,  1546745748505, 6.22810936e+00, 3.89263725e+00,-4.21511936e+00
        Walking,              2,  1546745748604, 5.72767830e+00, 7.11788988e+00,-3.81417370e+00
        Walking,              2,  1546745748705,-9.42239571e+00,-1.43231468e+01, 8.00343323e+00
        Walking,              2,  1546745748805,-6.73361778e-01,-2.31265259e+01,-1.53233471e+01
        Walking,              2,  1546745748904, 1.47666240e+00,-6.52762604e+00, 1.40182316e+00
        Walking,              2,  1546745749004, 3.24253345e+00, 2.31588459e+00, 3.19802523e-01
