     "Activity",           "ID",     "Time[ms]",           "ax",           "ay",           "az"
        Sitting,              0,  1546925071047,-5.70771337e-01, 2.33609200e-01,-7.56259918e-01
        Sitting,              0,  1546925071147,-3.01227856e+00,-1.82376742e+00,-1.99274540e+00
        Sitting,              0,  1546925071246,-1.21830940e+00, 2.18525362e+00, 3.62745571e+00
        Sitting,              0,  1546925071346, 4.18796182e-01,-9.86647844e-01, 1.32261753e+00
        Sitting,              0,  1546925071447,-5.46666205e-01, 3.21535826e-01,-1.09050846e+00
        Sitting,              0,  1546925071547,-7.49825239e-02,-3.79323959e-01,-6.40468597e-02
        Sitting,              0,  1546925071647,-3.72636318e-01,-5.99851608e-02,-8.19768906e-02
        Sitting,              0,  1546925071747, 9.09284353e-02,-1.06901073e+00,-4.42955971e-01
        Sitting,              0,  1546925071846, 1.19109786e+00,-3.52578163e-02,-1.77483416e+00
        Sitting,              0,  1546925071947, 3.38406420e+00,-3.03467751e+00,-2.73016024e+00
        Sitting,              0,  1546925072047,-2.67371559e+00,-5.83825588e-01, 2.04855537e+00
        Sitting,              0,  1546925072146,-4.21312714e+00, 5.33019662e-01,-2.25727654e+00
        Sitting,              0,  1546925072247,-1.95882607e+00,-1.54718077e+00,-4.44782925e+00
        Sitting,              0,  1546925072346, 3.83420944e-01, 3.25660729e+00,-5.06515837e+00
        Sitting,              0,  1546925072446, 2.29453087e-01,-1.00542116e+00,-3.79839611e+00
        Sitting,              0,  1546925072546, 1.06644964e+00,-5.96901417e-01,-4.29929638e+00
        Sitting,              0,  1546925072648,-2.74878407e+00,-3.84005547e-01,-4.15017986e+00
        Sitting,              0,  1546925072748,-5.28893471e-01, 5.87502956e-01, 6.18567467e-02
        Sitting,              0,  1546925072848, 5.96092224e-01,-1.09831810e-01,-2.08460188e+00
        Sitting,              0,  1546925072948, 2.64906645e+00,-5.33452511e-01,-7.59255409e-01
        Sitting,              0,  1546925073048, 2.92078018e+00,-5.55469990e-01, 1.50152206e-01
        Sitting,              0,  1546925073147, 2.03436327e+00, 1.04638004e+00, 2.00888228e+00
        Sitting,              0,  1546925073248,-1.89866543e-01,-1.03412628e-01,-6.65701628e-01
        Sitting,              0,  1546925073348,-6.71885967e-01,-1.92905998e+00, 1.01268244e+00
        Sitting,              0,  1546925073448, 4.25603724e+00, 3.95881796e+00,-2.31526661e+00
        Sitting,              0,  1546925073548, 1.82277441e-01, 1.56586552e+00, 2.46291947e+00
        Sitting,              0,  1546925073648,-8.98957253e-02,-5.41990566e+00,-3.87970400e+00
        Sitting,              0,  1546925073748, 5.32590151e-01,-3.38702679e+00,-2.29950070e-01
        Sitting,              0,  1546925073848,-9.66842461e+00, 9.27242470e+00, 3.54040051e+00
        Sitting,              0,  1546925073948, 3.16068935e+00,-3.50733185e+00,-2.96089315e+00
        Sitting,              0,  1546925074048, 2.22122669e+00,-1.91886330e+00, 3.48070931e+00
        Sitting,              0,  1546925074148, 4.05933142e-01, 3.62371731e+00,-1.07535851e+00
        Sitting,              0,  1546925074248, 7.47192097e+00,-1.25591850e+00,-7.07907486e+00
        Sitting,              0,  1546925074348, 3.03632474e+00,-4.12365055e+00, 1.16148033e+01
        Sitting,              0,  1546925074448,-1.21717620e+00, 2.27301598e+00, 6.01682663e-01
        Sitting,              0,  1546925074548, 1.48810291e+00,-2.59895992e+00,-3.76191807e+00
        Sitting,              0,  1546925074648, 1.41835320e+00,-2.28099728e+00, 7.01015472e-01
        Sitting,              0,  1546925074748,-4.58824545e-01,-5.40800095e-01,-2.25229597e+00
        Sitting,              0,  1546925074848,-1.78866148e-01,-5.89498520e-01, 5.59747219e-01
        Sitting,              0,  1546925074948, 1.57055998e+00, 3.49830151e-01, 9.98110294e-01
        Sitting,              0,  1546925075048, 1.78131151e+00,-1.26558590e+00, 1.44881487e+00
        Sitting,              0,  1546925075148, 1.78690481e+00,-2.54393101e+00, 2.32117510e+00
        Sitting,              0,  1546925075248,-8.63204384e+00,-1.63608551e+00,-3.44514179e+00
        Sitting,              0,  1546925075348,-2.28148413e+00, 2.26066065e+00,-2.72265196e+00
        Sitting,              0,  1546925075448, 4.88789368e+00, 3.92127657e+00, 8.66546154e-01
        Sitting,              0,  1546925075549, 6.40137494e-01,-3.67882729e-01, 6.56510293e-01
        Sitting,              0,  1546925075648,-3.76438999e+00, 4.46312475e+00, 1.46083939e+00
        Sitting,              0,  1546925075749, 1.56415272e+00,-5.92428207e-01, 1.24609303e+00
        Sitting,              0,  1546925075849,-3.67010832e-02,-1.07275486e+00, 9.30995584e-01
        Sitting,              0,  1546925075948,-2.04176426e-01, 1.98030663e+00, 1.14366591e+00
        Sitting,              0,  1546925076049, 5.41176438e-01, 3.94967508e+00,-3.68594140e-01
        Sitting,              0,  1546925076149,-1.53966689e+00, 6.25148773e+00, 1.78015327e+00
        Sitting,              0,  1546925076249, 2.34011459e+00,-8.71470451e-01,-4.83635187e-01
        Sitting,              0,  1546925076348,-4.84566212e-01, 2.40791368e+00,-6.72852576e-01
        Sitting,              0,  1546925076449, 2.90759969e+00,-4.35716343e+00, 2.53829002e+00
        Sitting,              0,  1546925076549,-2.75058746e-01, 5.65370655e+00, 1.85044646e-01
        Sitting,              0,  1546925076649, 2.45059490e+00,-1.05209351e-01,-1.77494359e+00
        Sitting,              0,  1546925076749,-5.95427990e-01, 1.08131409e-01, 8.77836227e-01
        Sitting,              0,  1546925076849,-1.49840474e-01, 1.11145926e+00,-1.18329835e+00
